Team,ShotsOnGoal,CornersTaken,CleanSheets,PassesCompleted,Clearances,Touches,TimeOfPossession,Rank,SeasonWinner,Relegated,WinningSeason
Arsenal 14/15,227,254,13,20527,1006,29045,55.7,3,0,1,1
Aston Villa 14/15,125,171,10,16527,1130,23785,49.1,17,0,1,0
Burnley 14/15,125,171,10,13632,1458,21624,44,19,0,0,0
Chelsea 14/15,210,226,17,20268,1027,27861,54.1,1,1,1,1
Crystal Palace 14/15,139,209,7,12071,1270,20386,42.7,10,0,1,0
Everton 14/15,166,194,10,18809,1280,26729,53.6,11,0,1,0
Hull City 14/15,131,169,10,14864,1316,22464,45.5,18,0,0,0
Leicester City 14/15,137,211,10,13343,1177,21547,44.8,14,0,1,0
Liverpool 14/15,192,198,14,19374,1175,27349,54.3,6,0,1,1
Man City 14/15,220,277,14,22107,872,29652,57,2,0,1,1
Man United 14/15,229,214,11,21311,1118,29044,58.8,4,0,1,1
Newcastle 14/15,143,222,8,15019,1020,23375,48.1,15,0,1,0
QPR 14/15,150,179,6,13659,1445,21905,46.3,20,0,0,0
Southampton 14/15,169,208,15,18184,875,25814,51.9,7,0,1,1
Stoke City 14/15,136,195,9,15386,1159,23427,50.2,9,0,1,1
Sunderland 14/15,130,186,13,14451,994,22036,46.2,16,0,1,0
Swansea City 14/15,147,151,13,17877,1203,25645,50.7,8,0,1,1
Tottenham 14/15,171,224,9,19322,1047,27495,55.2,5,0,1,1
West Brom 14/15,132,171,16,14445,1084,21820,44.9,13,0,1,0
West Ham 14/15,152,241,9,13568,1474,21792,46.7,12,0,1,0
Arsenal 15/16,211,227,18,21249,849,29337,56.9,2,0,1,1
Aston Villa 15/16,110,167,6,15308,973,23234,47.3,20,0,0,0
Bournemouth 15/16,143,221,7,17270,951,25291,51,16,0,1,0
Chelsea 15/16,173,240,9,19664,790,27362,54.4,10,0,1,0
Crystal Palace 15/16,153,219,8,13785,963,21861,46.8,15,0,1,0
Everton 151/6,175,218,10,17947,994,25741,51.5,11,0,1,0
Leicester City 15/16,179,197,15,13370,1040,21710,44.7,1,1,1,1
Liverpool 15/16,202,265,11,19733,871,27890,55,8,0,1,1
Man City 15/16,210,257,16,20488,940,28396,55.2,4,0,1,1
Man United 15/16,144,228,18,20070,755,27542,55.8,5,0,1,1
Newcastle 15/16,151,161,8,15118,939,22993,47.4,18,0,0,0
