Team,ShotsOnGoal,CornersTaken,CleanSheets,PassesCompleted,Clearances,Touches,TimeOfPossession,Rank,SeasonWinner,Relegated,WinningSeason
Arsenal 14/15,227,254,13,"20,527","1,006","29,045",55.70,3,0,1,1
Aston Villa 14/15,125,171,10,"16,527","1,130","23,785",49.10,17,0,1,0
Burnley 14/15,125,171,10,13632,"1,458","21,624",44.00,19,0,0,0
Chelsea 14/15,210,226,17,"20,268","1,027","27,861",54.10,1,1,1,1
Crystal Palace 14/15,139,209,7,"12,071","1,270","20,386",42.70,10,0,1,0
Everton 14/15,166,194,10,"18,809","1,280","26,729",53.60,11,0,1,0
Hull City 14/15,131,169,10,"14,864","1,316","22,464",45.50,18,0,0,0
Leicester City 14/15,137,211,10,"13,343","1,177","21,547",44.80,14,0,1,0
Liverpool 14/15,192,198,14,"19,374","1,175","27,349",54.30,6,0,1,1
Man City 14/15,220,277,14,"22,107",872,"29,652",57.00,2,0,1,1
Man United 14/15,229,214,11,"21,311","1,118","29,044",58.80,4,0,1,1
Newcastle 14/15,143,222,8,"15,019","1,020","23,375",48.10,15,0,1,0
QPR 14/15,150,179,6,"13,659","1,445","21,905",46.30,20,0,0,0
Southampton 14/15,169,208,15,"18,184",875,"25,814",51.90,7,0,1,1
Stoke City 14/15,136,195,9,"15,386","1,159","23,427",50.20,9,0,1,1
Sunderland 14/15,130,186,13,"14,451",994,"22,036",46.20,16,0,1,0
Swansea City 14/15,147,151,13,"17,877","1,203","25,645",50.70,8,0,1,1
Tottenham 14/15,171,224,9,"19,322","1,047","27,495",55.20,5,0,1,1
West Brom 14/15,132,171,16,"14,445","1,084","21,820",44.90,13,0,1,0
West Ham 14/15,152,241,9,"13,568","1,474","21,792",46.70,12,0,1,0
Arsenal 15/16,211,227,18,"21,249",849,"29,337",56.90,2,0,1,1
Aston Villa 15/16,110,167,6,"15,308",973,"23,234",47.30,20,0,0,0
Bournemouth 15/16,143,221,7,"17,270",951,"25,291",51.00,16,0,1,0
Chelsea 15/16,173,240,9,"19,664",790,"27,362",54.40,10,0,1,0
Crystal Palace 15/16,153,219,8,"13,785",963,"21,861",46.80,15,0,1,0
Everton 151/6,175,218,10,"17,947",994,"25,741",51.50,11,0,1,0
Leicester City 15/16,179,197,15,"13,370","1,040","21,710",44.70,1,1,1,1
Liverpool 15/16,202,265,11,"19,733",871,"27,890",55.00,8,0,1,1
Man City 15/16,210,257,16,"20,488",940,"28,396",55.20,4,0,1,1
Man United 15/16,144,228,18,"20,070",755,"27,542",55.80,5,0,1,1
Newcastle 15/16,151,161,8,"15,118",939,"22,993",47.40,18,0,0,0
Norwich City 15/16,129,188,5,"14,483","1,212","21,936",46.50,19,0,0,0
Southampton 15/16,166,220,12,"15,913","1,101","23,716",49.30,6,0,1,1
Stoke City 15/16,128,153,10,"16,342",826,"23,663",50.00,9,0,1,0
Sunderland 15/16,141,153,7,"12,799","1,277","29,339",43.40,17,0,1,0
Swansea City 15/16,136,163,9,"18,169","1,058","25,989",52.00,12,0,1,0
Tottenham 15/16,252,254,13,"18,649","1,046","27,014",55.30,3,0,1,1
Watford 15/16,140,164,11,"14,531",931,"22,362",46.30,13,0,1,0
West Brom 15/16,107,188,11,"12,262",992,"19,822",42.30,14,0,1,0
West Ham 15/16,185,224,11,"15,031","1,003","23,104",49.10,7,0,1,1
Arsenal 16/17,201,227,13,"21,394",838,"28,931",56.50,5,0,1,1
Bournemouth 16/17,160,193,10,"17,152","1,092","24,801",51.30,9,0,1,0
Burnley 16/17,120,149,10,"12,559","1,235","19,788",42.70,16,0,1,0
